Date,Diesel,GPR Index,Inflation Rate
02-01-2015,1.805,106.86,1.71
03-01-2015,1.805,53.43,1.686666667
04-01-2015,1.805,16.48,1.663333333
05-01-2015,1.768,100.72,1.64
06-01-2015,1.722,66.82,1.56
07-01-2015,1.711,78.76,1.57
08-01-2015,1.721,168.64,1.62
09-01-2015,1.723,64.71,1.62
10-01-2015,1.723,138.75,1.603333333
11-01-2015,1.723,96.12,1.586666667
12-01-2015,1.677,148.08,1.57
13-01-2015,1.647,151.56,1.54
14-01-2015,1.665,88.39,1.57
15-01-2015,1.624,132.79,1.58
16-01-2015,1.665,156.11,1.6
17-01-2015,1.665,108.23,1.598
18-01-2015,1.665,78.13,1.596
19-01-2015,1.665,120.26,1.594
20-01-2015,1.638,175.29,1.592
21-01-2015,1.639,148.51,1.59
22-01-2015,1.644,98.54,1.61
23-01-2015,1.645,109.12,1.61
24-01-2015,1.645,97.72,1.606666667
25-01-2015,1.645,110.42,1.603333333
26-01-2015,1.642,135.93,1.6
27-01-2015,1.654,95.16,1.61
28-01-2015,1.63,146.46,1.66
29-01-2015,1.624,105.28,1.61
30-01-2015,1.718,126.52,1.62
31-01-2015,1.718,60.17,1.63
01-02-2015,1.718,114.23,1.64
02-02-2015,1.782,101.15,1.65
03-02-2015,1.846,141.25,1.65
04-02-2015,1.79,90.7,1.7
05-02-2015,1.82,89.43,1.71
06-02-2015,1.853,166.44,1.7
07-02-2015,1.853,116.95,1.703333333
08-02-2015,1.853,107.09,1.706666667
09-02-2015,1.89,128.99,1.71
10-02-2015,1.857,134.23,1.71
11-02-2015,1.84,110.85,1.7
12-02-2015,1.95,76.61,1.68
13-02-2015,2.005,139.64,1.66
14-02-2015,2.005,60.35,1.665
15-02-2015,2.005,70.78,1.67
16-02-2015,2.005,102.52,1.675
17-02-2015,2.003,123.75,1.68
18-02-2015,1.992,154.67,1.695
19-02-2015,2.057,143.86,1.71
20-02-2015,2.191,136.85,1.71
21-02-2015,2.191,72.01,1.72
22-02-2015,2.191,83.69,1.73
23-02-2015,2.306,168.18,1.74
24-02-2015,2.111,149.09,1.75
25-02-2015,2.124,114.38,1.72
26-02-2015,2.194,95.06,1.72
27-02-2015,2.223,105.94,1.72
28-02-2015,2.223,51.56,1.743333333
01-03-2015,2.223,111.41,1.766666667
02-03-2015,2.276,105.47,1.79
03-03-2015,2.289,149.37,1.83
04-03-2015,2.091,218.32,1.83
05-03-2015,1.952,77.49,1.86
06-03-2015,1.936,86.04,1.87
07-03-2015,1.936,59.1,1.86
08-03-2015,1.936,86.04,1.85
09-03-2015,1.899,79.82,1.84
10-03-2015,1.882,89.77,1.83
11-03-2015,1.91,78.04,1.76
12-03-2015,1.861,105.61,1.73
13-03-2015,1.771,67.85,1.72
14-03-2015,1.771,66.89,1.716666667
15-03-2015,1.771,116.69,1.713333333
16-03-2015,1.779,109.26,1.71
17-03-2015,1.711,97.29,1.69
18-03-2015,1.814,117.37,1.65
19-03-2015,1.738,55.87,1.64
20-03-2015,1.766,94.76,1.7
21-03-2015,1.766,74.56,1.73
22-03-2015,1.766,78.87,1.76
23-03-2015,1.751,98.3,1.79
24-03-2015,1.714,100.38,1.76
25-03-2015,1.724,105.38,1.75
26-03-2015,1.796,103.41,1.77
27-03-2015,1.735,199.25,1.81
28-03-2015,1.735,91.81,1.806666667
29-03-2015,1.735,129.14,1.803333333
30-03-2015,1.736,123.24,1.8
31-03-2015,1.71,131.06,1.76
01-04-2015,1.741,138.93,1.73
02-04-2015,1.689,113.85,1.76
03-04-2015,1.689,150.14,1.77
04-04-2015,1.689,165.63,1.78
05-04-2015,1.689,116.46,1.79
06-04-2015,1.763,116.79,1.8
07-04-2015,1.79,110.13,1.81
08-04-2015,1.708,166.76,1.83
09-04-2015,1.728,134.81,1.85
10-04-2015,1.769,142.14,1.85
11-04-2015,1.769,74.88,1.846666667
12-04-2015,1.769,53,1.843333333
13-04-2015,1.79,79.22,1.84
14-04-2015,1.809,121.65,1.84
15-04-2015,1.878,143.66,1.82
16-04-2015,1.912,104.72,1.8
17-04-2015,1.893,99.06,1.8
18-04-2015,1.893,47.48,1.813333333
19-04-2015,1.893,97.81,1.826666667
20-04-2015,1.881,91.73,1.84
21-04-2015,1.857,85.28,1.85
22-04-2015,1.876,75.59,1.89
23-04-2015,1.926,61.08,1.89
24-04-2015,1.932,156.4,1.86
25-04-2015,1.932,41.45,1.863333333
26-04-2015,1.932,39.28,1.866666667
27-04-2015,1.922,76.04,1.87
28-04-2015,1.92,46.01,1.89
29-04-2015,1.944,84.1,1.89
30-04-2015,1.977,52.75,1.91
01-05-2015,1.984,76.24,1.89
02-05-2015,1.984,41.45,1.9
03-05-2015,1.984,43.83,1.91
04-05-2015,1.983,70.6,1.92
05-05-2015,2.017,44.76,1.94
06-05-2015,2.013,99.69,1.94
07-05-2015,1.964,64.28,1.92
08-05-2015,1.96,71.75,1.94
09-05-2015,1.96,50.07,1.93
10-05-2015,1.96,52.58,1.92
11-05-2015,1.947,118.67,1.91
12-05-2015,1.996,62.17,1.88
13-05-2015,2,114.38,1.88
14-05-2015,2.008,77.47,1.88
15-05-2015,2.01,95.24,1.88
16-05-2015,2.01,78.19,1.873333333
17-05-2015,2.01,76.89,1.866666667
18-05-2015,1.994,112.12,1.86
19-05-2015,1.937,128.44,1.87
20-05-2015,1.943,71.46,1.83
21-05-2015,1.988,56.79,1.86
22-05-2015,1.957,84.29,1.85
23-05-2015,1.957,80.79,1.8575
24-05-2015,1.957,63.16,1.865
25-05-2015,1.957,86.68,1.8725
26-05-2015,1.905,37.4,1.88
27-05-2015,1.864,83.28,1.84
28-05-2015,1.881,55.89,1.87
29-05-2015,1.949,55.47,1.8575
30-05-2015,1.949,68.61,1.845
31-05-2015,1.949,84.04,1.8325
01-06-2015,1.929,106.23,1.82
02-06-2015,1.95,65.35,1.8
03-06-2015,1.894,129.12,1.8
04-06-2015,1.846,84.13,1.8
05-06-2015,1.866,62.5,1.8
06-06-2015,1.866,36.68,1.81
07-06-2015,1.866,86.6,1.82
08-06-2015,1.855,81.79,1.83
09-06-2015,1.91,95.46,1.83
10-06-2015,1.941,48.58,1.81
11-06-2015,1.917,54.97,1.86
12-06-2015,1.888,41.64,1.85
13-06-2015,1.888,56.15,1.853333333
14-06-2015,1.888,64.7,1.856666667
15-06-2015,1.869,63.2,1.86
16-06-2015,1.882,114.23,1.87
17-06-2015,1.903,79.93,1.83
18-06-2015,1.915,83.09,1.84
19-06-2015,1.863,44.27,1.85
20-06-2015,1.863,99.45,1.86
21-06-2015,1.863,74.67,1.87
22-06-2015,1.869,90.68,1.88
23-06-2015,1.916,103.52,1.9
24-06-2015,1.883,84.82,1.89
25-06-2015,1.862,131.01,1.86
26-06-2015,1.861,81.49,1.9
27-06-2015,1.861,78.13,1.906666667
28-06-2015,1.861,109.96,1.913333333
29-06-2015,1.838,136.93,1.92
30-06-2015,1.879,169.32,1.9
01-07-2015,1.838,93.14,1.91
02-07-2015,1.827,84.56,1.92
03-07-2015,1.827,86.95,1.9075
04-07-2015,1.827,50.12,1.895
05-07-2015,1.827,80.4,1.8825
06-07-2015,1.708,109.33,1.87
07-07-2015,1.711,82.09,1.87
08-07-2015,1.706,61.78,1.89
09-07-2015,1.722,58.63,1.91
10-07-2015,1.725,107.39,1.9
11-07-2015,1.725,81.55,1.89
12-07-2015,1.725,105.27,1.88
13-07-2015,1.708,123.07,1.87
14-07-2015,1.712,67.7,1.87
15-07-2015,1.665,229.98,1.83
16-07-2015,1.66,117.65,1.85
17-07-2015,1.654,146.96,1.87
18-07-2015,1.654,63.47,1.866666667
19-07-2015,1.654,98.67,1.863333333
20-07-2015,1.649,125.31,1.86
21-07-2015,1.676,193.98,1.85
22-07-2015,1.668,152.95,1.84
23-07-2015,1.663,87.72,1.84
24-07-2015,1.631,113.36,1.83
25-07-2015,1.631,92.13,1.826666667
26-07-2015,1.631,127.41,1.823333333
27-07-2015,1.584,171.44,1.82
28-07-2015,1.6,132.93,1.82
29-07-2015,1.601,99.95,1.8
30-07-2015,1.6,74.98,1.79
31-07-2015,1.586,72.27,1.76
01-08-2015,1.586,64.01,1.75
02-08-2015,1.586,69.56,1.74
03-08-2015,1.518,28.46,1.73
04-08-2015,1.538,155.1,1.75
05-08-2015,1.532,77.83,1.77
06-08-2015,1.543,128.8,1.77
07-08-2015,1.529,90.14,1.74
08-08-2015,1.529,68.76,1.726666667
09-08-2015,1.529,85.34,1.713333333
10-08-2015,1.576,88.93,1.7
11-08-2015,1.558,93.8,1.71
12-08-2015,1.584,97.43,1.7
13-08-2015,1.562,110.11,1.67
14-08-2015,1.536,78.32,1.66
15-08-2015,1.536,47.83,1.67
16-08-2015,1.536,71.24,1.68
17-08-2015,1.541,95.61,1.69
18-08-2015,1.54,88.54,1.66
19-08-2015,1.5,121.07,1.62
20-08-2015,1.477,28.85,1.62
21-08-2015,1.452,86.26,1.62
22-08-2015,1.452,79.32,1.606666667
23-08-2015,1.452,55.21,1.593333333
24-08-2015,1.383,103.36,1.58
25-08-2015,1.373,58.12,1.58
26-08-2015,1.377,79.11,1.57
27-08-2015,1.488,85.71,1.56
28-08-2015,1.554,52.89,1.53
29-08-2015,1.554,64.28,1.516666667
30-08-2015,1.554,70.75,1.503333333
31-08-2015,1.669,79.25,1.49
01-09-2015,1.55,96.33,1.53
02-09-2015,1.578,75.72,1.53
03-09-2015,1.595,85.49,1.58
04-09-2015,1.565,98.03,1.61
05-09-2015,1.565,91.28,1.615
06-09-2015,1.565,82.64,1.62
07-09-2015,1.565,84.08,1.625
08-09-2015,1.562,117.95,1.63
09-09-2015,1.514,142.71,1.57
10-09-2015,1.539,143.31,1.56
11-09-2015,1.51,118.87,1.54
12-09-2015,1.51,101.75,1.53
13-09-2015,1.51,55.31,1.52
14-09-2015,1.477,79.94,1.51
15-09-2015,1.478,122.69,1.52
16-09-2015,1.52,83.47,1.53
17-09-2015,1.502,83.41,1.56
18-09-2015,1.465,83.91,1.59
19-09-2015,1.465,83.01,1.59
20-09-2015,1.465,68.18,1.59
21-09-2015,1.475,86.41,1.59
22-09-2015,1.499,188.75,1.56
23-09-2015,1.481,85.78,1.56
24-09-2015,1.51,88.7,1.57
25-09-2015,1.495,81.84,1.58
26-09-2015,1.495,78.38,1.57
27-09-2015,1.495,75.04,1.56
28-09-2015,1.466,92.13,1.55
29-09-2015,1.487,111.61,1.54
30-09-2015,1.509,101.28,1.51
01-10-2015,1.488,128.45,1.52
02-10-2015,1.482,180.35,1.49
03-10-2015,1.482,70.56,1.48
04-10-2015,1.482,81.99,1.47
05-10-2015,1.512,91.1,1.46
06-10-2015,1.573,113.13,1.39
07-10-2015,1.546,110.68,1.39
08-10-2015,1.566,70.64,1.41
09-10-2015,1.545,88.39,1.46
10-10-2015,1.545,107.57,1.466666667
11-10-2015,1.545,83.11,1.473333333
12-10-2015,1.472,79.32,1.48
13-10-2015,1.432,80.69,1.51
14-10-2015,1.434,105.44,1.52
15-10-2015,1.456,84.32,1.55
16-10-2015,1.453,90.19,1.58
17-10-2015,1.453,110.29,1.566666667
18-10-2015,1.453,67.11,1.553333333
19-10-2015,1.41,85.07,1.54
20-10-2015,1.418,70.16,1.53
21-10-2015,1.421,69.37,1.52
22-10-2015,1.465,68.85,1.49
23-10-2015,1.444,79.14,1.5
24-10-2015,1.444,73.33,1.493333333
